,Season,TeamName,RankTempo,RankAdjTempo,RankOE,RankAdjOE,RankDE,RankAdjDE,RankAdjEM,seed,OverallAvgRank,underrated,overrated,R32,S16,E8,F4,Finals,Champ,Sweet16
884,2025,Akron,6,5,18,47,18,10,56,13.0,22.857142857142858,0.0,4.0,0.21153846153846154,0.18181818181818182,0.0,0.0,0.0,0.0,0
885,2025,Alabama,1,1,8,4,9,41,6,2.0,10.0,0.0,0.0,0.9294871794871795,0.6827586206896552,0.696969696969697,0.463768115942029,0.40625,0.38461538461538464,0
886,2025,Alabama St.,27,27,66,66,20,2,67,16.0,39.285714285714285,0.0,3.0,0.01282051282051282,0.0,0.0,0.0,0.0,0.0,0
887,2025,American,65,65,65,64,11,8,65,16.0,49.0,0.0,1.0,0.01282051282051282,0.0,0.0,0.0,0.0,0.0,0
888,2025,Arizona,17,12,20,12,25,40,14,4.0,20.0,0.0,0.0,0.7884615384615384,0.578125,0.33783783783783783,0.6,0.26666666666666666,0.5,0
889,2025,Arkansas,14,17,61,50,38,51,39,10.0,38.57142857142857,0.0,0.0,0.38461538461538464,0.4,0.375,0.1111111111111111,0.0,0.0,0
890,2025,Auburn,29,32,4,2,37,57,4,1.0,23.571428571428573,0.0,0.0,0.9871794871794872,0.8571428571428571,0.7803030303030303,0.6019417475728155,0.6290322580645161,0.6410256410256411,0
891,2025,Baylor,61,60,33,16,16,27,29,9.0,34.57142857142857,4.0,0.0,0.5192307692307693,0.09876543209876543,0.625,0.4,0.0,0.0,0
892,2025,Bryant,2,3,56,63,35,14,60,15.0,33.285714285714285,0.0,0.0,0.07051282051282051,0.36363636363636365,0.25,0.0,0.0,0.0,0
893,2025,BYU,37,37,12,11,23,23,24,6.0,23.857142857142858,0.0,0.0,0.6089743589743589,0.47368421052631576,0.37777777777777777,0.17647058823529413,0.6666666666666666,0.5,0
894,2025,Clemson,62,61,23,23,50,54,18,5.0,41.57142857142857,0.0,0.0,0.6474358974358975,0.5346534653465347,0.2222222222222222,0.75,0.4444444444444444,0.0,0
895,2025,Colorado St.,56,49,38,36,41,31,41,12.0,41.714285714285715,4.0,0.0,0.3525641025641026,0.4,0.09090909090909091,0.0,0.0,0.0,0
896,2025,Connecticut,64,63,10,14,21,18,35,8.0,32.142857142857146,0.0,3.0,0.4807692307692308,0.21333333333333335,0.5625,0.6666666666666666,0.6666666666666666,0.25,0
897,2025,Creighton,38,39,48,31,30,36,37,9.0,37.0,0.0,1.0,0.5192307692307693,0.09876543209876543,0.625,0.4,0.0,0.0,0
898,2025,Drake,68,68,32,52,51,34,48,11.0,50.42857142857143,0.0,4.0,0.391025641025641,0.4426229508196721,0.37037037037037035,0.6,0.0,0.0,0
899,2025,Duke,50,52,1,3,66,65,1,1.0,34.0,0.0,0.0,0.9871794871794872,0.8571428571428571,0.7803030303030303,0.6019417475728155,0.6290322580645161,0.6410256410256411,0
900,2025,Florida,9,14,5,1,52,59,2,1.0,20.285714285714285,0.0,0.0,0.9871794871794872,0.8571428571428571,0.7803030303030303,0.6019417475728155,0.6290322580645161,0.6410256410256411,0
901,2025,Georgia,34,42,51,41,36,47,34,9.0,40.714285714285715,0.0,0.0,0.5192307692307693,0.09876543209876543,0.625,0.4,0.0,0.0,0
902,2025,Gonzaga,13,10,3,9,54,44,9,8.0,20.285714285714285,20.0,0.0,0.4807692307692308,0.21333333333333335,0.5625,0.6666666666666666,0.6666666666666666,0.25,0
903,2025,Grand Canyon,5,4,62,59,62,24,54,13.0,38.57142857142857,0.0,2.0,0.21153846153846154,0.18181818181818182,0.0,0.0,0.0,0.0,0
904,2025,High Point,45,43,2,24,15,6,53,13.0,26.857142857142858,0.0,1.0,0.21153846153846154,0.18181818181818182,0.0,0.0,0.0,0.0,0
905,2025,Houston,67,67,15,10,68,67,3,1.0,42.42857142857143,0.0,0.0,0.9871794871794872,0.8571428571428571,0.7803030303030303,0.6019417475728155,0.6290322580645161,0.6410256410256411,0
906,2025,Illinois,7,6,21,15,26,37,20,6.0,18.857142857142858,1.0,0.0,0.6089743589743589,0.47368421052631576,0.37777777777777777,0.17647058823529413,0.6666666666666666,0.5,0
907,2025,Iowa St.,21,20,29,19,58,60,10,3.0,31.0,0.0,0.0,0.8525641025641025,0.6165413533834586,0.4878048780487805,0.425,0.6470588235294118,0.36363636363636365,0
908,2025,Kansas,25,22,58,39,49,58,21,7.0,38.857142857142854,4.0,0.0,0.6153846153846154,0.3020833333333333,0.3448275862068966,0.3,0.3333333333333333,1.0,0
909,2025,Kentucky,4,7,14,8,6,29,16,3.0,12.0,0.0,4.0,0.8525641025641025,0.6165413533834586,0.4878048780487805,0.425,0.6470588235294118,0.36363636363636365,0
910,2025,Liberty,53,56,46,54,55,32,50,12.0,49.42857142857143,0.0,2.0,0.3525641025641026,0.4,0.09090909090909091,0.0,0.0,0.0,0
911,2025,Lipscomb,44,50,19,51,39,17,52,14.0,38.857142857142854,1.0,0.0,0.14743589743589744,0.08695652173913043,0.0,0.0,0.0,0.0,0
912,2025,Louisville,28,19,31,27,45,50,23,8.0,31.857142857142858,6.0,0.0,0.4807692307692308,0.21333333333333335,0.5625,0.6666666666666666,0.6666666666666666,0.25,0
913,2025,Marquette,36,33,43,30,42,45,28,7.0,36.714285714285715,0.0,0.0,0.6153846153846154,0.3020833333333333,0.3448275862068966,0.3,0.3333333333333333,1.0,0
914,2025,Maryland,11,13,24,26,63,63,12,4.0,30.285714285714285,1.0,0.0,0.7884615384615384,0.578125,0.33783783783783783,0.6,0.26666666666666666,0.5,0
915,2025,McNeese,59,55,27,45,53,25,49,12.0,44.714285714285715,0.0,1.0,0.3525641025641026,0.4,0.09090909090909091,0.0,0.0,0.0,0
916,2025,Memphis,8,8,47,49,32,38,46,5.0,32.57142857142857,0.0,26.0,0.6474358974358975,0.5346534653465347,0.2222222222222222,0.75,0.4444444444444444,0.0,0
917,2025,Michigan,12,16,55,38,43,55,25,5.0,34.857142857142854,0.0,5.0,0.6474358974358975,0.5346534653465347,0.2222222222222222,0.75,0.4444444444444444,0.0,0
918,2025,Michigan St.,24,28,40,25,56,64,8,2.0,35.0,0.0,0.0,0.9294871794871795,0.6827586206896552,0.696969696969697,0.463768115942029,0.40625,0.38461538461538464,0
919,2025,Mississippi,23,25,49,29,24,48,26,6.0,32.0,0.0,2.0,0.6089743589743589,0.47368421052631576,0.37777777777777777,0.17647058823529413,0.6666666666666666,0.5,0
920,2025,Mississippi St.,20,24,34,22,13,33,32,8.0,25.428571428571427,0.0,0.0,0.4807692307692308,0.21333333333333335,0.5625,0.6666666666666666,0.6666666666666666,0.25,0
921,2025,Missouri,19,23,6,5,12,20,15,6.0,14.285714285714286,6.0,0.0,0.6089743589743589,0.47368421052631576,0.37777777777777777,0.17647058823529413,0.6666666666666666,0.5,0
922,2025,Montana,40,40,44,57,1,4,62,14.0,35.42857142857143,0.0,6.0,0.14743589743589744,0.08695652173913043,0.0,0.0,0.0,0.0,0
923,2025,Mount St. Mary's,41,35,67,67,31,11,66,16.0,45.42857142857143,0.0,2.0,0.01282051282051282,0.0,0.0,0.0,0.0,0.0,0
924,2025,Nebraska Omaha,26,29,41,56,2,3,61,15.0,31.142857142857142,0.0,1.0,0.07051282051282051,0.36363636363636365,0.25,0.0,0.0,0.0,0
925,2025,New Mexico,3,2,59,53,57,52,40,10.0,38.0,0.0,0.0,0.38461538461538464,0.4,0.375,0.1111111111111111,0.0,0.0,0
926,2025,Norfolk St.,42,44,50,61,17,7,63,16.0,40.57142857142857,0.0,0.0,0.01282051282051282,0.0,0.0,0.0,0.0,0.0,0
927,2025,North Carolina,10,9,30,21,10,30,33,11.0,20.428571428571427,8.0,0.0,0.391025641025641,0.4426229508196721,0.37037037037037035,0.6,0.0,0.0,0
928,2025,Oklahoma,18,21,39,20,7,22,38,9.0,23.571428571428573,0.0,2.0,0.5192307692307693,0.09876543209876543,0.625,0.4,0.0,0.0,0
929,2025,Oregon,33,30,54,34,27,42,31,5.0,35.857142857142854,0.0,11.0,0.6474358974358975,0.5346534653465347,0.2222222222222222,0.75,0.4444444444444444,0.0,0
930,2025,Purdue,51,58,13,7,5,26,19,4.0,25.571428571428573,0.0,3.0,0.7884615384615384,0.578125,0.33783783783783783,0.6,0.26666666666666666,0.5,0
931,2025,Robert Morris,31,26,52,62,33,15,59,15.0,39.714285714285715,0.0,0.0,0.07051282051282051,0.36363636363636365,0.25,0.0,0.0,0.0,0
932,2025,Saint Francis,49,41,68,68,4,1,68,16.0,42.714285714285715,0.0,4.0,0.01282051282051282,0.0,0.0,0.0,0.0,0.0,0
933,2025,Saint Mary's,66,66,25,42,61,61,22,7.0,49.0,3.0,0.0,0.6153846153846154,0.3020833333333333,0.3448275862068966,0.3,0.3333333333333333,1.0,0
934,2025,San Diego St.,58,48,63,58,59,56,44,11.0,55.142857142857146,0.0,0.0,0.391025641025641,0.4426229508196721,0.37037037037037035,0.6,0.0,0.0,0
935,2025,SIUE,46,51,64,65,40,12,64,16.0,48.857142857142854,0.0,0.0,0.01282051282051282,0.0,0.0,0.0,0.0,0.0,0
936,2025,St. John's,15,11,53,46,67,68,11,2.0,38.714285714285715,0.0,3.0,0.9294871794871795,0.6827586206896552,0.696969696969697,0.463768115942029,0.40625,0.38461538461538464,0
937,2025,Tennessee,60,64,28,18,60,66,5,2.0,43.0,0.0,0.0,0.9294871794871795,0.6827586206896552,0.696969696969697,0.463768115942029,0.40625,0.38461538461538464,0
938,2025,Texas,35,36,36,33,22,28,43,11.0,33.285714285714285,0.0,0.0,0.391025641025641,0.4426229508196721,0.37037037037037035,0.6,0.0,0.0,0
939,2025,Texas A&M,39,46,57,37,46,62,17,4.0,43.42857142857143,0.0,1.0,0.7884615384615384,0.578125,0.33783783783783783,0.6,0.26666666666666666,0.5,0
940,2025,Texas Tech,54,54,7,5,44,39,7,3.0,30.0,2.0,0.0,0.8525641025641025,0.6165413533834586,0.4878048780487805,0.425,0.6470588235294118,0.36363636363636365,0
941,2025,Troy,48,45,60,60,47,21,55,14.0,48.0,0.0,0.0,0.14743589743589744,0.08695652173913043,0.0,0.0,0.0,0.0,0
942,2025,UC San Diego,47,53,16,43,65,43,36,12.0,43.285714285714285,9.0,0.0,0.3525641025641026,0.4,0.09090909090909091,0.0,0.0,0.0,0
943,2025,UCLA,52,59,42,32,48,53,27,7.0,44.714285714285715,0.0,0.0,0.6153846153846154,0.3020833333333333,0.3448275862068966,0.3,0.3333333333333333,1.0,0
944,2025,UNC Wilmington,57,57,26,55,19,9,57,14.0,40.0,0.0,1.0,0.14743589743589744,0.08695652173913043,0.0,0.0,0.0,0.0,0
945,2025,Utah St.,43,34,9,17,14,13,47,10.0,25.285714285714285,0.0,7.0,0.38461538461538464,0.4,0.375,0.1111111111111111,0.0,0.0,0
946,2025,Vanderbilt,16,15,35,28,8,19,45,10.0,23.714285714285715,0.0,5.0,0.38461538461538464,0.4,0.375,0.1111111111111111,0.0,0.0,0
947,2025,VCU,55,47,22,35,64,49,30,11.0,43.142857142857146,11.0,0.0,0.391025641025641,0.4426229508196721,0.37037037037037035,0.6,0.0,0.0,0
948,2025,Wisconsin,32,31,17,13,29,46,13,3.0,25.857142857142858,0.0,1.0,0.8525641025641025,0.6165413533834586,0.4878048780487805,0.425,0.6470588235294118,0.36363636363636365,0
949,2025,Wofford,63,62,37,48,3,5,58,15.0,39.42857142857143,0.0,0.0,0.07051282051282051,0.36363636363636365,0.25,0.0,0.0,0.0,0
950,2025,Xavier,22,18,45,40,34,35,42,11.0,33.714285714285715,0.0,0.0,0.391025641025641,0.4426229508196721,0.37037037037037035,0.6,0.0,0.0,0
951,2025,Yale,30,38,11,44,28,16,51,13.0,31.142857142857142,0.0,0.0,0.21153846153846154,0.18181818181818182,0.0,0.0,0.0,0.0,0
